ÿÿÿthe,a
ÿÿÿbe,v
ÿÿÿand,c
ÿÿÿof,i
ÿÿÿa,a
ÿÿÿin,i
ÿÿÿto,t
have,v
ÿÿÿto,i
ÿÿÿit,p
ÿÿÿI,p
ÿÿÿthat,c
ÿÿÿfor,i
ÿÿÿyou,p
ÿÿÿhe,p
ÿÿÿwith,i
ÿÿÿon,i
ÿÿÿdo,v
ÿÿÿsay,v
ÿÿÿthis,d
ÿÿÿthey,p
ÿÿÿat,i
ÿÿÿbut,c
ÿÿÿwe,p
ÿÿÿhis,a
ÿÿÿfrom,i
ÿÿÿthat,d
ÿÿÿnot,x
ÿÿÿn't,x
ÿÿÿby,i
ÿÿÿshe,p
ÿÿÿor,c
ÿÿÿas,c
ÿÿÿwhat,d
ÿÿÿgo,v
ÿÿÿtheir,a
ÿÿÿcan,v
ÿÿÿwho,p
ÿÿÿget,v
ÿÿÿif,c
ÿÿÿwould,v
ÿÿÿher,a
ÿÿÿall,d
ÿÿÿmy,a
ÿÿÿmake,v
ÿÿÿabout,i
ÿÿÿknow,v
ÿÿÿwill,v
ÿÿÿas,i
ÿÿÿup,r
ÿÿÿone,m
ÿÿÿtime,n
ÿÿÿthere,e
ÿÿÿyear,n
ÿÿÿso,r
ÿÿÿthink,v
ÿÿÿwhen,c
ÿÿÿwhich,d
ÿÿÿthem,p
ÿÿÿsome,d
ÿÿÿme,p
ÿÿÿpeople,n
ÿÿÿtake,v
ÿÿÿout,r
ÿÿÿinto,i
ÿÿÿjust,r
ÿÿÿsee,v
ÿÿÿhim,p
ÿÿÿyour,a
ÿÿÿcome,v
ÿÿÿcould,v
ÿÿÿnow,r
ÿÿÿthan,c
ÿÿÿlike,i
ÿÿÿother,j
ÿÿÿhow,r
ÿÿÿthen,r
ÿÿÿits,a
ÿÿÿour,a
ÿÿÿtwo,m
ÿÿÿmore,r
ÿÿÿthese,d
ÿÿÿwant,v
ÿÿÿway,n
ÿÿÿlook,v
ÿÿÿfirst,m
ÿÿÿalso,r
ÿÿÿnew,j
ÿÿÿbecause,c
ÿÿÿday,n
ÿÿÿmore,d
ÿÿÿuse,v
ÿÿÿno,a
ÿÿÿman,n
ÿÿÿfind,v
ÿÿÿhere,r
ÿÿÿthing,n
ÿÿÿgive,v
ÿÿÿmany,d
ÿÿÿwell,r
ÿÿÿonly,r
ÿÿÿthose,d
ÿÿÿtell,v
ÿÿÿone,p
ÿÿÿvery,r
ÿÿÿher,p
ÿÿÿeven,r
ÿÿÿback,r
ÿÿÿany,d
ÿÿÿgood,j
ÿÿÿwoman,n
ÿÿÿthrough,i
ÿÿÿus,p
ÿÿÿlife,n
ÿÿÿchild,n
ÿÿÿthere,r
ÿÿÿwork,v
ÿÿÿdown,r
ÿÿÿmay,v
ÿÿÿafter,i
ÿÿÿshould,v
ÿÿÿcall,v
ÿÿÿworld,n
ÿÿÿover,i
ÿÿÿschool,n
ÿÿÿstill,r
ÿÿÿtry,v
ÿÿÿin,r
ÿÿÿas,r
ÿÿÿlast,m
ÿÿÿask,v
ÿÿÿneed,v
ÿÿÿtoo,r
ÿÿÿfeel,v
ÿÿÿthree,m
ÿÿÿwhen,r
ÿÿÿstate,n
ÿÿÿnever,r
ÿÿÿbecome,v
ÿÿÿbetween,i
ÿÿÿhigh,j
ÿÿÿreally,r
ÿÿÿsomething,p
ÿÿÿmost,r
ÿÿÿanother,d
ÿÿÿmuch,d
ÿÿÿfamily,n
ÿÿÿown,d
ÿÿÿout,i
ÿÿÿleave,v
ÿÿÿput,v
ÿÿÿold,j
ÿÿÿwhile,c
ÿÿÿmean,v
ÿÿÿon,r
ÿÿÿkeep,v
ÿÿÿstudent,n
ÿÿÿwhy,r
ÿÿÿlet,v
ÿÿÿgreat,j
ÿÿÿsame,d
ÿÿÿbig,j
ÿÿÿgroup,n
ÿÿÿbegin,v
ÿÿÿseem,v
ÿÿÿcountry,n
ÿÿÿhelp,v
ÿÿÿtalk,v
ÿÿÿwhere,c
ÿÿÿturn,v
ÿÿÿproblem,n
ÿÿÿevery,a
ÿÿÿstart,v
ÿÿÿhand,n
ÿÿÿmight,v
ÿÿÿAmerican,j
ÿÿÿshow,v
ÿÿÿpart,n
ÿÿÿabout,r
ÿÿÿagainst,i
ÿÿÿplace,n
ÿÿÿover,r
ÿÿÿsuch,d
ÿÿÿagain,r
ÿÿÿfew,d
ÿÿÿcase,n
ÿÿÿmost,d
ÿÿÿweek,n
ÿÿÿcompany,n
ÿÿÿwhere,r
ÿÿÿsystem,n
ÿÿÿeach,d
ÿÿÿright,r
ÿÿÿprogram,n
ÿÿÿhear,v
ÿÿÿso,c
ÿÿÿquestion,n
ÿÿÿduring,i
ÿÿÿwork,n
ÿÿÿplay,v
ÿÿÿgovernment,n
ÿÿÿrun,v
ÿÿÿsmall,j
ÿÿÿnumber,n
ÿÿÿoff,r
ÿÿÿalways,r
ÿÿÿmove,v
ÿÿÿlike,v
ÿÿÿnight,n
ÿÿÿlive,v
ÿÿÿMr,n
ÿÿÿpoint,n
ÿÿÿbelieve,v
ÿÿÿhold,v
ÿÿÿtoday,r
ÿÿÿbring,v
ÿÿÿhappen,v
ÿÿÿnext,m
ÿÿÿwithout,i
ÿÿÿbefore,i
ÿÿÿlarge,j
ÿÿÿall,r
ÿÿÿmillion,m
ÿÿÿmust,v
ÿÿÿhome,n
ÿÿÿunder,i
ÿÿÿwater,n
ÿÿÿroom,n
ÿÿÿwrite,v
ÿÿÿmother,n
ÿÿÿarea,n
ÿÿÿnational,j
ÿÿÿmoney,n
ÿÿÿstory,n
ÿÿÿyoung,j
ÿÿÿfact,n
ÿÿÿmonth,n
ÿÿÿdifferent,j
ÿÿÿlot,n
ÿÿÿright,n
ÿÿÿstudy,n
ÿÿÿbook,n
ÿÿÿeye,n
ÿÿÿjob,n
ÿÿÿword,n
ÿÿÿthough,c
ÿÿÿbusiness,n
ÿÿÿissue,n
ÿÿÿside,n
ÿÿÿkind,n
ÿÿÿfour,m
ÿÿÿhead,n
ÿÿÿfar,r
ÿÿÿblack,j
ÿÿÿlong,j
ÿÿÿboth,d
ÿÿÿlittle,j
ÿÿÿhouse,n
ÿÿÿyes,u
ÿÿÿafter,c
ÿÿÿsince,c
ÿÿÿlong,r
ÿÿÿprovide,v
ÿÿÿservice,n
ÿÿÿaround,i
ÿÿÿfriend,n
ÿÿÿimportant,j
ÿÿÿfather,n
ÿÿÿsit,v
ÿÿÿaway,r
ÿÿÿuntil,c
ÿÿÿpower,n
ÿÿÿhour,n
ÿÿÿgame,n
ÿÿÿoften,r
ÿÿÿyet,r
ÿÿÿline,n
ÿÿÿpolitical,j
ÿÿÿend,n
ÿÿÿamong,i
ÿÿÿever,r
ÿÿÿstand,v
ÿÿÿbad,j
ÿÿÿlose,v
ÿÿÿhowever,r
ÿÿÿmember,n
ÿÿÿpay,v
ÿÿÿlaw,n
ÿÿÿmeet,v
ÿÿÿcar,n
ÿÿÿcity,n
ÿÿÿalmost,r
ÿÿÿinclude,v
ÿÿÿcontinue,v
ÿÿÿset,v
ÿÿÿlater,r
ÿÿÿcommunity,n
ÿÿÿmuch,r
ÿÿÿname,n
ÿÿÿfive,m
ÿÿÿonce,r
ÿÿÿwhite,j
ÿÿÿleast,r
ÿÿÿpresident,n
ÿÿÿlearn,v
ÿÿÿreal,j
ÿÿÿchange,v
ÿÿÿteam,n
ÿÿÿminute,n
ÿÿÿbest,j
ÿÿÿseveral,d
ÿÿÿidea,n
ÿÿÿkid,n
ÿÿÿbody,n
ÿÿÿinformation,n
ÿÿÿnothing,p
ÿÿÿago,r
ÿÿÿright,j
ÿÿÿlead,v
ÿÿÿsocial,j
ÿÿÿunderstand,v
ÿÿÿwhether,c
ÿÿÿback,n
ÿÿÿwatch,v
ÿÿÿtogether,r
ÿÿÿfollow,v
ÿÿÿaround,r
ÿÿÿparent,n
ÿÿÿonly,j
ÿÿÿstop,v
ÿÿÿface,n
ÿÿÿanything,p
ÿÿÿcreate,v
ÿÿÿpublic,j
ÿÿÿalready,r
ÿÿÿspeak,v
ÿÿÿothers,n
ÿÿÿread,v
ÿÿÿlevel,n
ÿÿÿallow,v
ÿÿÿadd,v
ÿÿÿoffice,n
ÿÿÿspend,v
ÿÿÿdoor,n
ÿÿÿhealth,n
ÿÿÿperson,n
ÿÿÿart,n
ÿÿÿsure,j
ÿÿÿsuch,i
ÿÿÿwar,n
ÿÿÿhistory,n
ÿÿÿparty,n
ÿÿÿwithin,i
ÿÿÿgrow,v
ÿÿÿresult,n
ÿÿÿopen,v
ÿÿÿchange,n
ÿÿÿmorning,n
ÿÿÿwalk,v
ÿÿÿreason,n
ÿÿÿlow,j
ÿÿÿwin,v
ÿÿÿresearch,n
ÿÿÿgirl,n
ÿÿÿguy,n
ÿÿÿearly,j
ÿÿÿfood,n
ÿÿÿbefore,c
ÿÿÿmoment,n
ÿÿÿhimself,p
ÿÿÿair,n
ÿÿÿteacher,n
ÿÿÿforce,n
ÿÿÿoffer,v
ÿÿÿenough,r
ÿÿÿboth,r
ÿÿÿeducation,n
ÿÿÿacross,i
ÿÿÿalthough,c
ÿÿÿremember,v
ÿÿÿfoot,n
ÿÿÿsecond,m
ÿÿÿboy,n
ÿÿÿmaybe,r
ÿÿÿtoward,i
ÿÿÿable,j
ÿÿÿage,n
ÿÿÿoff,i
ÿÿÿpolicy,n
ÿÿÿeverything,p
ÿÿÿlove,v
ÿÿÿprocess,n
ÿÿÿmusic,n
ÿÿÿincluding,i
ÿÿÿconsider,v
ÿÿÿappear,v
ÿÿÿactually,r
ÿÿÿbuy,v
ÿÿÿprobably,r
ÿÿÿhuman,j
ÿÿÿwait,v
ÿÿÿserve,v
ÿÿÿmarket,n
ÿÿÿdie,v
ÿÿÿsend,v
ÿÿÿexpect,v
ÿÿÿhome,r
ÿÿÿsense,n
ÿÿÿbuild,v
ÿÿÿstay,v
ÿÿÿfall,v
ÿÿÿoh,u
ÿÿÿnation,n
ÿÿÿplan,n
ÿÿÿcut,v
ÿÿÿcollege,n
ÿÿÿinterest,n
ÿÿÿdeath,n
ÿÿÿcourse,r
ÿÿÿsomeone,p
ÿÿÿexperience,n
ÿÿÿbehind,i
ÿÿÿreach,v
ÿÿÿlocal,j
ÿÿÿkill,v
ÿÿÿsix,m
ÿÿÿremain,v
ÿÿÿeffect,n
ÿÿÿuse,n
ÿÿÿyeah,u
ÿÿÿsuggest,v
ÿÿÿclass,n
ÿÿÿcontrol,n
ÿÿÿraise,v
ÿÿÿcare,n
ÿÿÿperhaps,r
ÿÿÿlittle,r
ÿÿÿlate,j
ÿÿÿhard,j
ÿÿÿfield,n
ÿÿÿelse,r
ÿÿÿpass,v
ÿÿÿformer,d
ÿÿÿsell,v
ÿÿÿmajor,j
ÿÿÿsometimes,r
ÿÿÿrequire,v
ÿÿÿalong,i
ÿÿÿdevelopment,n
ÿÿÿthemselves,p
ÿÿÿreport,v
ÿÿÿrole,n
ÿÿÿbetter,j
ÿÿÿeconomic,j
ÿÿÿeffort,n
ÿÿÿup,i
ÿÿÿdecide,v
ÿÿÿrate,n
ÿÿÿstrong,j
ÿÿÿpossible,j
ÿÿÿheart,n
ÿÿÿdrug,n
ÿÿÿshow,n
ÿÿÿleader,n
ÿÿÿlight,n
ÿÿÿvoice,n
ÿÿÿwife,n
ÿÿÿwhole,j
ÿÿÿpolice,n
ÿÿÿmind,n
ÿÿÿfinally,r
ÿÿÿpull,v
ÿÿÿreturn,v
ÿÿÿfree,j
ÿÿÿmilitary,j
ÿÿÿprice,n
ÿÿÿreport,n
ÿÿÿless,r
ÿÿÿaccording,i
ÿÿÿdecision,n
ÿÿÿexplain,v
ÿÿÿson,n
ÿÿÿhope,v
ÿÿÿeven,c
ÿÿÿdevelop,v
ÿÿÿview,n
ÿÿÿrelationship,n
ÿÿÿcarry,v
ÿÿÿtown,n
ÿÿÿroad,n
ÿÿÿdrive,v
ÿÿÿarm,n
ÿÿÿtrue,j
ÿÿÿfederal,j
ÿÿÿbreak,v
ÿÿÿbetter,r
ÿÿÿdifference,n
ÿÿÿthank,v
ÿÿÿreceive,v
ÿÿÿvalue,n
ÿÿÿinternational,j
ÿÿÿbuilding,n
ÿÿÿaction,n
ÿÿÿfull,j
ÿÿÿmodel,n
ÿÿÿjoin,v
ÿÿÿseason,n
ÿÿÿsociety,n
ÿÿÿbecause,i
ÿÿÿtax,n
ÿÿÿdirector,n
ÿÿÿearly,r
ÿÿÿposition,n
ÿÿÿplayer,n
ÿÿÿagree,v
ÿÿÿespecially,r
ÿÿÿrecord,n
ÿÿÿpick,v
ÿÿÿwear,v
ÿÿÿpaper,n
ÿÿÿspecial,j
ÿÿÿspace,n
ÿÿÿground,n
ÿÿÿform,n
ÿÿÿsupport,v
ÿÿÿevent,n
ÿÿÿofficial,n
ÿÿÿwhose,d
ÿÿÿmatter,n
ÿÿÿeveryone,p
ÿÿÿcenter,n
ÿÿÿcouple,n
ÿÿÿsite,n
ÿÿÿend,v
ÿÿÿproject,n
ÿÿÿhit,v
ÿÿÿbase,v
ÿÿÿactivity,n
ÿÿÿstar,n
ÿÿÿtable,n
ÿÿÿneed,n
ÿÿÿcourt,n
ÿÿÿproduce,v
ÿÿÿeat,v
ÿÿÿAmerican,n
ÿÿÿteach,v
ÿÿÿoil,n
ÿÿÿhalf,d
ÿÿÿsituation,n
ÿÿÿeasy,j
ÿÿÿcost,n
ÿÿÿindustry,n
ÿÿÿfigure,n
ÿÿÿface,v
ÿÿÿstreet,n
ÿÿÿimage,n
ÿÿÿitself,p
ÿÿÿphone,n
ÿÿÿeither,r
ÿÿÿdata,n
ÿÿÿcover,v
ÿÿÿquite,r
ÿÿÿpicture,n
ÿÿÿclear,j
ÿÿÿpractice,n
ÿÿÿpiece,n
ÿÿÿland,n
ÿÿÿrecent,j
ÿÿÿdescribe,v
ÿÿÿproduct,n
ÿÿÿdoctor,n
ÿÿÿwall,n
ÿÿÿpatient,n
ÿÿÿworker,n
ÿÿÿnews,n
ÿÿÿtest,n
ÿÿÿmovie,n
ÿÿÿcertain,j
ÿÿÿnorth,n
ÿÿÿlove,n
ÿÿÿpersonal,j
ÿÿÿopen,j
ÿÿÿsupport,n
ÿÿÿsimply,r
ÿÿÿthird,m
ÿÿÿtechnology,n
ÿÿÿcatch,v
ÿÿÿstep,n
ÿÿÿbaby,n
ÿÿÿcomputer,n
ÿÿÿtype,n
ÿÿÿattention,n
ÿÿÿdraw,v
ÿÿÿfilm,n
ÿÿÿRepublican,n
ÿÿÿtree,n
ÿÿÿsource,n
ÿÿÿred,j
ÿÿÿnearly,r
ÿÿÿorganization,n
ÿÿÿchoose,v
ÿÿÿcause,v
ÿÿÿhair,n
ÿÿÿlook,n
ÿÿÿpoint,v
ÿÿÿcentury,n
ÿÿÿevidence,n
ÿÿÿwindow,n
ÿÿÿdifficult,j
ÿÿÿlisten,v
ÿÿÿsoon,r
ÿÿÿculture,n
ÿÿÿbillion,m
ÿÿÿchance,n
ÿÿÿbrother,n
ÿÿÿenergy,n
ÿÿÿperiod,n
ÿÿÿcourse,n
ÿÿÿsummer,n
ÿÿÿless,d
ÿÿÿrealize,v
ÿÿÿhundred,m
ÿÿÿavailable,j
ÿÿÿplant,n
ÿÿÿlikely,j
ÿÿÿopportunity,n
ÿÿÿterm,n
ÿÿÿshort,j
ÿÿÿletter,n
ÿÿÿcondition,n
ÿÿÿchoice,n
ÿÿÿplace,v
ÿÿÿsingle,j
ÿÿÿrule,n
ÿÿÿdaughter,n
ÿÿÿadministration,n
ÿÿÿsouth,n
ÿÿÿhusband,n
ÿÿÿCongress,n
ÿÿÿfloor,n
ÿÿÿcampaign,n
ÿÿÿmaterial,n
ÿÿÿpopulation,n
ÿÿÿwell,i
ÿÿÿcall,n
ÿÿÿeconomy,n
ÿÿÿmedical,j
ÿÿÿhospital,n
ÿÿÿchurch,n
ÿÿÿclose,v
ÿÿÿthousand,m
ÿÿÿrisk,n
ÿÿÿcurrent,j
ÿÿÿfire,n
ÿÿÿfuture,n
ÿÿÿwrong,j
ÿÿÿinvolve,v
ÿÿÿdefense,n
ÿÿÿanyone,p
ÿÿÿincrease,v
ÿÿÿsecurity,n
ÿÿÿbank,n
ÿÿÿmyself,p
ÿÿÿcertainly,r
ÿÿÿwest,n
ÿÿÿsport,n
ÿÿÿboard,n
ÿÿÿseek,v
ÿÿÿper,i
ÿÿÿsubject,n
ÿÿÿofficer,n
ÿÿÿprivate,j
ÿÿÿrest,n
ÿÿÿbehavior,n
ÿÿÿdeal,v
ÿÿÿperformance,n
ÿÿÿfight,v
ÿÿÿthrow,v
ÿÿÿtop,n
ÿÿÿquickly,r
ÿÿÿpast,j
ÿÿÿgoal,n
ÿÿÿsecond,n
ÿÿÿbed,n
ÿÿÿorder,n
ÿÿÿauthor,n
ÿÿÿfill,v
ÿÿÿrepresent,v
ÿÿÿfocus,v
ÿÿÿforeign,j
ÿÿÿdrop,v
ÿÿÿplan,v
ÿÿÿblood,n
ÿÿÿupon,i
ÿÿÿagency,n
ÿÿÿpush,v
ÿÿÿnature,n
ÿÿÿcolor,n
ÿÿÿno,r
ÿÿÿrecently,r
ÿÿÿstore,n
ÿÿÿreduce,v
ÿÿÿsound,n
ÿÿÿnote,v
ÿÿÿfine,j
ÿÿÿbefore,r
ÿÿÿnear,i
ÿÿÿmovement,n
ÿÿÿpage,n
ÿÿÿenter,v
ÿÿÿshare,v
ÿÿÿthan,i
ÿÿÿcommon,j
ÿÿÿpoor,j
ÿÿÿother,p
ÿÿÿnatural,j
ÿÿÿrace,n
ÿÿÿconcern,n
ÿÿÿseries,n
ÿÿÿsignificant,j
ÿÿÿsimilar,j
ÿÿÿhot,j
ÿÿÿlanguage,n
ÿÿÿeach,p
ÿÿÿusually,r
ÿÿÿresponse,n
ÿÿÿdead,j
ÿÿÿrise,v
ÿÿÿanimal,n
ÿÿÿfactor,n
ÿÿÿdecade,n
ÿÿÿarticle,n
ÿÿÿshoot,v
ÿÿÿeast,n
ÿÿÿsave,v
ÿÿÿseven,m
ÿÿÿartist,n
ÿÿÿaway,i
ÿÿÿscene,n
ÿÿÿstock,n
ÿÿÿcareer,n
ÿÿÿdespite,i
ÿÿÿcentral,j
ÿÿÿeight,m
ÿÿÿthus,r
ÿÿÿtreatment,n
ÿÿÿbeyond,i
ÿÿÿhappy,j
ÿÿÿexactly,r
ÿÿÿprotect,v
ÿÿÿapproach,n
ÿÿÿlie,v
ÿÿÿsize,n
ÿÿÿdog,n
ÿÿÿfund,n
ÿÿÿserious,j
ÿÿÿoccur,v
ÿÿÿmedia,n
ÿÿÿready,j
ÿÿÿsign,n
ÿÿÿthought,n
ÿÿÿlist,n
ÿÿÿindividual,n
ÿÿÿsimple,j
ÿÿÿquality,n
ÿÿÿpressure,n
ÿÿÿaccept,v
ÿÿÿanswer,n
ÿÿÿhard,r
ÿÿÿresource,n
ÿÿÿidentify,v
ÿÿÿleft,j
ÿÿÿmeeting,n
ÿÿÿdetermine,v
ÿÿÿprepare,v
ÿÿÿdisease,n
ÿÿÿwhatever,d
ÿÿÿsuccess,n
ÿÿÿargue,v
ÿÿÿcup,n
ÿÿÿparticularly,r
ÿÿÿamount,n
ÿÿÿability,n
ÿÿÿstaff,n
ÿÿÿrecognize,v
ÿÿÿindicate,v
ÿÿÿcharacter,n
ÿÿÿgrowth,n
ÿÿÿloss,n
ÿÿÿdegree,n
ÿÿÿwonder,v
ÿÿÿattack,n
ÿÿÿherself,p
ÿÿÿregion,n
ÿÿÿtelevision,n
ÿÿÿbox,n
ÿÿÿTV,n
ÿÿÿtraining,n
ÿÿÿpretty,r
ÿÿÿtrade,n
ÿÿÿdeal,n
ÿÿÿelection,n
ÿÿÿeverybody,p
ÿÿÿphysical,j
ÿÿÿlay,v
ÿÿÿgeneral,j
ÿÿÿfeeling,n
ÿÿÿstandard,n
ÿÿÿbill,n
ÿÿÿmessage,n
ÿÿÿfail,v
ÿÿÿoutside,i
ÿÿÿarrive,v
ÿÿÿanalysis,n
ÿÿÿbenefit,n
ÿÿÿname,v
ÿÿÿsex,n
ÿÿÿforward,r
ÿÿÿlawyer,n
ÿÿÿpresent,v
ÿÿÿsection,n
ÿÿÿenvironmental,j
ÿÿÿglass,n
ÿÿÿanswer,v
ÿÿÿskill,n
ÿÿÿsister,n
ÿÿÿPM,r
ÿÿÿprofessor,n
ÿÿÿoperation,n
ÿÿÿfinancial,j
ÿÿÿcrime,n
ÿÿÿstage,n
ÿÿÿok,r
ÿÿÿcompare,v
ÿÿÿauthority,n
ÿÿÿmiss,v
ÿÿÿdesign,n
ÿÿÿsort,n
ÿÿÿone,n
ÿÿÿact,v
ÿÿÿten,m
ÿÿÿknowledge,n
ÿÿÿgun,n
ÿÿÿstation,n
ÿÿÿblue,j
ÿÿÿstate,v
ÿÿÿstrategy,n
ÿÿÿlittle,d
ÿÿÿclearly,r
ÿÿÿdiscuss,v
ÿÿÿindeed,r
ÿÿÿforce,v
ÿÿÿtruth,n
ÿÿÿsong,n
ÿÿÿexample,n
ÿÿÿdemocratic,j
ÿÿÿcheck,v
ÿÿÿenvironment,n
ÿÿÿleg,n
ÿÿÿdark,j
ÿÿÿpublic,n
ÿÿÿvarious,j
ÿÿÿrather,r
ÿÿÿlaugh,v
ÿÿÿguess,v
ÿÿÿexecutive,n
ÿÿÿset,n
ÿÿÿstudy,v
ÿÿÿprove,v
ÿÿÿhang,v
ÿÿÿentire,j
ÿÿÿrock,n
ÿÿÿdesign,v
ÿÿÿenough,d
ÿÿÿforget,v
ÿÿÿsince,i
ÿÿÿclaim,v
ÿÿÿnote,n
ÿÿÿremove,v
ÿÿÿmanager,n
ÿÿÿhelp,n
ÿÿÿclose,j
ÿÿÿsound,v
ÿÿÿenjoy,v
ÿÿÿnetwork,n
ÿÿÿlegal,j
ÿÿÿreligious,j
ÿÿÿcold,j
ÿÿÿform,v
ÿÿÿfinal,j
ÿÿÿmain,j
ÿÿÿscience,n
ÿÿÿgreen,j
ÿÿÿmemory,n
ÿÿÿcard,n
ÿÿÿabove,i
ÿÿÿseat,n
ÿÿÿcell,n
ÿÿÿestablish,v
ÿÿÿnice,j
ÿÿÿtrial,n
ÿÿÿexpert,n
ÿÿÿthat,r
ÿÿÿspring,n
ÿÿÿfirm,n
ÿÿÿDemocrat,n
ÿÿÿradio,n
ÿÿÿvisit,v
ÿÿÿmanagement,n
ÿÿÿcare,v
ÿÿÿavoid,v
ÿÿÿimagine,v
ÿÿÿtonight,r
ÿÿÿhuge,j
ÿÿÿball,n
ÿÿÿno,u
ÿÿÿclose,r
ÿÿÿfinish,v
ÿÿÿyourself,p
ÿÿÿtalk,n
ÿÿÿtheory,n
ÿÿÿimpact,n
ÿÿÿrespond,v
ÿÿÿstatement,n
ÿÿÿmaintain,v
ÿÿÿcharge,n
ÿÿÿpopular,j
ÿÿÿtraditional,j
ÿÿÿonto,i
ÿÿÿreveal,v
ÿÿÿdirection,n
ÿÿÿweapon,n
ÿÿÿemployee,n
ÿÿÿcultural,j
ÿÿÿcontain,v
ÿÿÿpeace,n
ÿÿÿhead,v
ÿÿÿcontrol,v
ÿÿÿbase,n
ÿÿÿpain,n
ÿÿÿapply,v
ÿÿÿplay,n
ÿÿÿmeasure,n
ÿÿÿwide,j
ÿÿÿshake,v
ÿÿÿfly,v
ÿÿÿinterview,n
ÿÿÿmanage,v
ÿÿÿchair,n
ÿÿÿfish,n
ÿÿÿparticular,j
ÿÿÿcamera,n
ÿÿÿstructure,n
ÿÿÿpolitics,n
ÿÿÿperform,v
ÿÿÿbit,n
ÿÿÿweight,n
ÿÿÿsuddenly,r
ÿÿÿdiscover,v
ÿÿÿcandidate,n
ÿÿÿtop,j
ÿÿÿproduction,n
ÿÿÿtreat,v
ÿÿÿtrip,n
ÿÿÿevening,n
ÿÿÿaffect,v
ÿÿÿinside,i
ÿÿÿconference,n
ÿÿÿunit,n
ÿÿÿbest,r
ÿÿÿstyle,n
ÿÿÿadult,n
ÿÿÿworry,v
ÿÿÿrange,n
ÿÿÿmention,v
ÿÿÿrather,i
ÿÿÿfar,j
ÿÿÿdeep,j
ÿÿÿpast,n
ÿÿÿedge,n
ÿÿÿindividual,j
ÿÿÿspecific,j
ÿÿÿwriter,n
ÿÿÿtrouble,n
ÿÿÿnecessary,j
ÿÿÿthroughout,i
ÿÿÿchallenge,n
ÿÿÿfear,n
ÿÿÿshoulder,n
ÿÿÿinstitution,n
ÿÿÿmiddle,j
ÿÿÿsea,n
ÿÿÿdream,n
ÿÿÿbar,n
ÿÿÿbeautiful,j
ÿÿÿproperty,n
ÿÿÿinstead,r
ÿÿÿimprove,v
ÿÿÿstuff,n
ÿÿÿdetail,n
ÿÿÿmethod,n
ÿÿÿsign,v
ÿÿÿsomebody,p
ÿÿÿmagazine,n
ÿÿÿhotel,n
ÿÿÿsoldier,n
ÿÿÿreflect,v
ÿÿÿheavy,j
ÿÿÿsexual,j
ÿÿÿcause,n
ÿÿÿbag,n
ÿÿÿheat,n
ÿÿÿfall,n
ÿÿÿmarriage,n
ÿÿÿtough,j
ÿÿÿsing,v
ÿÿÿsurface,n
ÿÿÿpurpose,n
ÿÿÿexist,v
ÿÿÿpattern,n
ÿÿÿwhom,p
ÿÿÿskin,n
ÿÿÿagent,n
ÿÿÿowner,n
ÿÿÿmachine,n
ÿÿÿgas,n
ÿÿÿdown,i
ÿÿÿahead,r
ÿÿÿgeneration,n
ÿÿÿcommercial,j
ÿÿÿaddress,v
ÿÿÿcancer,n
ÿÿÿtest,v
ÿÿÿitem,n
ÿÿÿreality,n
ÿÿÿcoach,n
ÿÿÿstep,v
ÿÿÿMrs,n
ÿÿÿyard,n
ÿÿÿbeat,v
ÿÿÿviolence,n
ÿÿÿtotal,j
ÿÿÿtend,v
ÿÿÿinvestment,n
ÿÿÿdiscussion,n
ÿÿÿfinger,n
ÿÿÿgarden,n
ÿÿÿnotice,v
ÿÿÿcollection,n
ÿÿÿmodern,j
ÿÿÿtask,n
ÿÿÿpartner,n
ÿÿÿpositive,j
ÿÿÿcivil,j
ÿÿÿkitchen,n
ÿÿÿconsumer,n
ÿÿÿshot,n
ÿÿÿbudget,n
ÿÿÿwish,v
ÿÿÿpainting,n
ÿÿÿscientist,n
ÿÿÿsafe,j
ÿÿÿagreement,n
ÿÿÿcapital,n
ÿÿÿmouth,n
ÿÿÿnor,c
ÿÿÿvictim,n
ÿÿÿnewspaper,n
ÿÿÿinstead,i
ÿÿÿthreat,n
ÿÿÿresponsibility,n
ÿÿÿsmile,v
ÿÿÿattorney,n
ÿÿÿscore,n
ÿÿÿaccount,n
ÿÿÿinteresting,j
ÿÿÿbreak,n
ÿÿÿaudience,n
ÿÿÿrich,j
ÿÿÿdinner,n
ÿÿÿfigure,v
ÿÿÿvote,n
ÿÿÿwestern,j
ÿÿÿrelate,v
ÿÿÿtravel,v
ÿÿÿdebate,n
